Code_1,Code_2,Group,WoP,nDays,Min of Date,Max of Date,CHompYR_1,CHompMO_1,perc_1,CHompYR_2,CHompMO_2,perc_2,CHomp_1,CHomp_2,CHomp_FINAL
R1.2013.01,R1.2013.02,R1,49,7,2-Jan-13,8-Jan-13,2013,1,1.00,2013,2,0.00,27.35,6.1,27.35
R1.2013.01,R1.2013.02,R1,50,7,16-Jan-13,22-Jan-13,2013,1,1.00,2013,2,0.00,27.35,6.1,27.35
R1.2013.02,R1.2013.03,R1,51,7,6-Feb-13,12-Feb-13,2013,2,1.00,2013,3,0.00,6.1,27.35,6.10
R1.2013.02,R1.2013.03,R1,52,13,28-Feb-13,12-Mar-13,2013,2,0.00,2013,3,1.00,6.1,27.35,27.35
R1.2014.03,R1.2014.04,R1,63,14,12-Mar-14,25-Mar-14,2014,3,0.86,2014,4,0.14,0,13.425,1.92
R1.2014.04,R1.2014.05,R1,64,10,7-Apr-14,16-Apr-14,2014,4,1.00,2014,5,0.00,13.425,60,13.43
R1.2014.05,R1.2014.06,R1,65,10,5-May-14,14-May-14,2014,5,1.00,2014,6,0.00,60,0,60.00
R1.2014.06,R1.2014.07,R1,66,10,11-Jun-14,20-Jun-14,2014,6,1.00,2014,7,0.00,0,3.05,0.00
R1.2014.07,R1.2014.08,R1,67,10,9-Jul-14,18-Jul-14,2014,7,1.00,2014,8,0.00,3.05,20.375,3.05
R2.2012.06,R2.2012.07,R2,40,5,28-Jun-12,3-Jul-12,2012,6,0.00,2012,7,1.00,0,130.575,130.58
R2.2012.07,R2.2012.08,R2,41,13,11-Jul-12,24-Jul-12,2012,7,0.93,2012,8,0.07,130.575,60,125.53
R2.2012.08,R2.2012.09,R2,42,13,1-Aug-12,14-Aug-12,2012,8,1.00,2012,9,0.00,60,0,60.00
R2.2012.08,R2.2012.09,R2,43,10,22-Aug-12,31-Aug-12,2012,8,0.20,2012,9,0.80,60,0,12.00
R2.2012.09,R2.2012.10,R2,44,13,12-Sep-12,24-Sep-12,2012,9,0.88,2012,10,0.12,0,0,0.00
R2.2012.10,R2.2012.11,R2,45,7,3-Oct-12,9-Oct-12,2012,10,1.00,2012,11,0.00,0,16.9,0.00
R2.2012.10,R2.2012.11,R2,46,14,24-Oct-12,6-Nov-12,2012,10,0.00,2012,11,1.00,0,16.9,16.90
R2.2012.11,R2.2012.12,R2,47,14,14-Nov-12,27-Nov-12,2012,11,0.68,2012,12,0.32,16.9,0,11.47
R2.2012.12,R2.2013.01,R2,48,14,5-Dec-12,18-Dec-12,2012,12,1.00,2013,1,0.00,0,9.125,0.00
R2.2013.01,R2.2013.02,R2,50,13,17-Jan-13,29-Jan-13,2013,1,0.50,2013,2,0.50,9.125,15,12.06
R2.2013.02,R2.2013.03,R2,51,14,6-Feb-13,19-Feb-13,2013,2,1.00,2013,3,0.00,15,9.125,15.00
R2.2013.03,R2.2013.04,R2,52,7,6-Mar-13,12-Mar-13,2013,3,1.00,2013,4,0.00,9.125,60,9.13
R2.2013.03,R2.2013.04,R2,53,14,20-Mar-13,2-Apr-13,2013,3,0.29,2013,4,0.71,9.125,60,45.46
R2.2014.03,R2.2014.04,R2,63,14,12-Mar-14,25-Mar-14,2014,3,0.86,2014,4,0.14,0,0,0.00
R2.2014.04,R2.2014.05,R2,64,10,7-Apr-14,16-Apr-14,2014,4,1.00,2014,5,0.00,0,60,0.00
R2.2014.05,R2.2014.06,R2,65,10,5-May-14,14-May-14,2014,5,1.00,2014,6,0.00,60,0,60.00
R2.2014.06,R2.2014.07,R2,66,10,11-Jun-14,20-Jun-14,2014,6,1.00,2014,7,0.00,0,0,0.00
R2.2014.07,R2.2014.08,R2,67,9,9-Jul-14,17-Jul-14,2014,7,1.00,2014,8,0.00,0,0,0.00
R2.2015.01,R2.2015.02,R2,68,13,20-Jan-15,1-Feb-15,2015,1,0.31,2015,2,0.69,0,60,41.54
R2.2015.02,R2.2015.03,R2,69,14,9-Feb-15,22-Feb-15,2015,2,1.00,2015,3,0.00,60,0,60.00
R2.2015.03,R2.2015.04,R2,70,13,10-Mar-15,22-Mar-15,2015,3,1.00,2015,4,0.00,0,0,0.00
R2.2015.04,R2.2015.05,R2,71,7,9-Apr-15,15-Apr-15,2015,4,1.00,2015,5,0.00,0,57.55,0.00
R3.2012.06,R3.2012.07,R3,40,6,27-Jun-12,3-Jul-12,2012,6,0.00,2012,7,1.00,25.25,178.875,178.88
R3.2012.07,R3.2012.08,R3,41,14,11-Jul-12,24-Jul-12,2012,7,0.93,2012,8,0.07,178.875,119.625,174.64
R3.2012.08,R3.2012.09,R3,42,13,1-Aug-12,14-Aug-12,2012,8,1.00,2012,9,0.00,119.625,42.85,119.63
