Group,Date,Week,Week of Project,PSA_MY_N,PSA_BL_N,PSA_CH_N,nScans,PSA_MY_perc,PSA_BL_perc,PSA_CH_perc
R1,02/06/2013,0.3,51,5,0,0,19,26,0,0
R1,02/07/2013,0.3,51,0,0,0,21,0,0,0
R1,02/08/2013,0.3,51,0,0,0,23,0,0,0
R1,02/09/2013,0.3,51,6,0,0,21,29,0,0
R1,02/10/2013,0.3,51,0,0,0,20,0,0,0
R1,02/11/2013,0.3,51,0,0,0,22,0,0,0
R1,02/12/2013,0.3,51,0,0,0,23,0,0,0
R1,03/06/2013,0.5,52,0,0,0,23,0,0,0
R1,03/07/2013,0.5,52,0,0,0,20,0,0,0
R1,03/08/2013,0.5,52,0,0,0,23,0,0,0
R1,03/09/2013,0.5,52,0,0,0,16,0,0,0
R1,03/10/2013,0.5,52,0,0,0,4,0,0,0
R1,03/11/2013,0.5,52,0,0,0,19,0,0,0
R1,03/12/2013,0.5,52,0,0,0,18,0,0,0
R1,03/12/2014,1,63,0,0,0,3,0,0,0
R1,03/13/2014,1,63,0,0,0,23,0,0,0
R1,03/14/2014,1,63,0,1,0,21,0,5,0
R1,03/15/2014,1,63,0,0,0,23,0,0,0
R1,03/16/2014,1,63,0,0,0,14,0,0,0
R1,03/17/2014,1,63,0,0,0,20,0,0,0
R1,03/18/2014,1,63,0,0,0,21,0,0,0
R1,03/19/2014,2,63,0,0,0,23,0,0,0
R1,03/20/2014,2,63,0,0,0,19,0,0,0
R1,03/21/2014,2,63,0,0,0,23,0,0,0
R1,03/22/2014,2,63,0,0,0,24,0,0,0
R1,03/23/2014,2,63,0,0,0,17,0,0,0
R1,03/24/2014,2,63,0,0,0,19,0,0,0
R1,03/25/2014,2,63,0,0,0,17,0,0,0
R1,04/07/2014,3,64,0,0,0,8,0,0,0
R1,04/08/2014,3,64,0,0,0,21,0,0,0
R1,04/09/2014,3,64,0,0,0,23,0,0,0
R1,04/10/2014,3,64,0,0,0,23,0,0,0
R1,04/11/2014,3,64,0,0,0,21,0,0,0
R1,04/12/2014,3,64,0,0,0,20,0,0,0
R1,04/13/2014,3,64,0,0,0,21,0,0,0
R1,04/14/2014,3,64,0,0,0,23,0,0,0
R1,04/15/2014,3,64,0,0,0,23,0,0,0
R1,04/16/2014,3,64,0,0,0,19,0,0,0
R1,05/05/2014,4,65,0,0,0,14,0,0,0
R1,05/06/2014,4,65,0,0,0,21,0,0,0
R1,05/07/2014,4,65,0,0,0,23,0,0,0
R1,05/08/2014,4,65,0,0,0,23,0,0,0
R1,05/09/2014,4,65,0,0,0,6,0,0,0
R1,05/10/2014,4,65,0,0,0,23,0,0,0
R1,05/11/2014,4,65,0,0,0,24,0,0,0
R1,05/12/2014,4,65,0,0,0,20,0,0,0
R1,05/13/2014,4,65,0,0,0,21,0,0,0
R1,05/14/2014,4,65,0,0,0,19,0,0,0
R1,06/11/2014,5,66,0,0,0,10,0,0,0
R1,06/12/2014,5,66,4,0,0,23,17,0,0
R1,06/13/2014,5,66,0,0,0,22,0,0,0
R1,06/14/2014,5,66,0,0,0,21,0,0,0
R1,06/15/2014,5,66,0,0,0,22,0,0,0
R1,06/16/2014,5,66,0,0,0,21,0,0,0
R1,06/17/2014,5,66,0,0,0,8,0,0,0
R1,06/18/2014,5,66,0,0,0,23,0,0,0
R1,06/19/2014,5,66,0,0,0,21,0,0,0
R1,06/20/2014,5,66,0,0,0,19,0,0,0
R1,07/09/2014,6,67,0,0,0,4,0,0,0
R1,07/10/2014,6,67,0,0,0,20,0,0,0
R1,07/11/2014,6,67,0,0,0,22,0,0,0
R1,07/12/2014,6,67,0,0,0,20,0,0,0
R1,07/13/2014,6,67,0,0,0,7,0,0,0
R1,07/14/2014,6,67,0,0,0,23,0,0,0
R1,07/15/2014,6,67,0,0,0,11,0,0,0
R1,07/16/2014,6,67,0,0,0,18,0,0,0
R1,07/17/2014,6,67,0,0,0,19,0,0,0
R1,07/18/2014,6,67,0,0,0,8,0,0,0
R2,08/22/2012,1,43,0,,,9,0,,
R2,08/23/2012,1,43,13,0,0,21,62,0,0
R2,08/24/2012,1,43,21,0,0,25,84,0,0
R2,08/25/2012,1,43,20,0,0,24,83,0,0
R2,08/26/2012,1,43,19,0,0,23,83,0,0
R2,08/27/2012,1,43,0,0,0,24,0,0,0
R2,08/28/2012,1,43,0,0,0,17,0,0,0
R2,08/29/2012,1,43,15,0,0,23,65,0,0
R2,08/30/2012,1,43,9,0,0,23,39,0,0
R2,08/31/2012,1,43,14,0,0,18,78,0,0
R2,09/12/2012,2,44,0,0,0,7,0,0,0
R2,09/13/2012,2,44,4,0,0,24,17,0,0
R2,09/14/2012,2,44,16,1,0,24,67,4,0
R2,09/15/2012,2,44,2,0,0,6,33,0,0
R2,09/16/2012,2,44,15,4,0,24,63,17,0
R2,09/17/2012,2,44,17,0,0,24,71,0,0
R2,09/18/2012,2,44,15,0,0,24,63,0,0
R2,09/19/2012,3,44,7,5,0,24,29,21,0
R2,09/20/2012,3,44,20,6,0,24,83,25,0
R2,09/21/2012,3,44,20,19,0,24,83,79,0
R2,09/22/2012,3,44,21,10,0,24,88,42,0
R2,09/23/2012,3,44,8,8,0,17,47,47,0
R2,09/24/2012,3,44,12,11,0,24,50,46,0
R2,10/03/2012,4,45,14,5,0,22,64,23,0
R2,10/04/2012,4,45,5,0,2,24,21,0,8
R2,10/05/2012,4,45,20,0,1,26,77,0,4
R2,10/06/2012,4,45,5,0,0,25,20,0,0
R2,10/07/2012,4,45,7,0,0,25,28,0,0
R2,10/08/2012,4,45,15,7,0,25,60,28,0
R2,10/09/2012,4,45,9,0,0,22,41,0,0
R2,10/24/2012,5,46,11,0,0,23,48,0,0
R2,10/25/2012,5,46,0,0,0,12,0,0,0
R2,10/26/2012,5,46,4,2,0,25,16,8,0
R2,10/27/2012,5,46,19,6,0,25,76,24,0
R2,10/28/2012,5,46,4,0,0,25,16,0,0
R2,10/29/2012,5,46,9,1,0,25,36,4,0
R2,10/30/2012,5,46,19,0,0,25,76,0,0
R2,10/31/2012,6,46,17,0,0,25,68,0,0
R2,11/01/2012,6,46,2,0,0,25,8,0,0
R2,11/02/2012,6,46,9,0,0,13,69,0,0
R2,11/03/2012,6,46,6,0,0,25,24,0,0
R2,11/04/2012,6,46,9,0,0,11,82,0,0
R2,11/05/2012,6,46,5,0,0,25,20,0,0
R2,11/06/2012,6,46,1,0,0,22,5,0,0
R2,11/14/2012,7,47,8,0,0,13,62,0,0
R2,11/15/2012,7,47,17,0,0,25,68,0,0
R2,11/16/2012,7,47,4,0,0,25,16,0,0
R2,11/17/2012,7,47,22,11,0,25,88,44,0
R2,11/18/2012,7,47,4,0,0,21,19,0,0
R2,11/19/2012,7,47,13,1,0,25,52,4,0
R2,11/20/2012,7,47,11,0,0,24,46,0,0
R2,11/21/2012,8,47,15,0,1,25,60,0,4
R2,11/22/2012,8,47,6,0,0,25,24,0,0
R2,11/23/2012,8,47,15,0,0,25,60,0,0
R2,11/24/2012,8,47,5,3,0,25,20,12,0
R2,11/25/2012,8,47,0,0,0,25,0,0,0
R2,11/26/2012,8,47,0,0,0,24,0,0,0
R2,11/27/2012,8,47,15,0,0,21,71,0,0
