Sample #,Week,WoP,Period,Group,Date,Time,ObsHrs,Name,Code,Class,age,male,UCPsg,gsAF,gsAS
1,1,30,b,R5,01/26/2012,08:48,11.0 ,Teddy,TED,AF,1,0,141.30 ,13,16
2,1,30,b,R5,01/27/2012,11:42,10.5 ,Carter,CRT,AM,1,1,3.15 ,13,16
6,1,30,b,R5,01/27/2012,12:06,10.5 ,Rose,ROS,AF,1,0,61.97 ,13,16
3,1,30,b,R5,01/27/2012,12:43,10.5 ,Kate,KAT,AF,1,0,39.54 ,13,16
7,1,30,b,R5,01/27/2012,12:43,10.5 ,Teddy,TED,AF,1,0,2.94 ,13,16
4,1,30,b,R5,01/27/2012,14:45,10.5 ,Patrick,PAT,JF,3,0,32.55 ,13,16
9,1,30,b,R5,01/29/2012,11:24,11.0 ,Sarah,SAR,AF,1,0,30.24 ,13,16
8,1,30,b,R5,01/29/2012,11:40,11.0 ,Light,LIG,AF,1,0,19.71 ,13,16
11,1,30,b,R5,01/30/2012,11:57,11.0 ,Joy,JOY,JF,3,0,2.75 ,13,16
12,1,30,b,R5,01/30/2012,13:14,11.0 ,Ringtail,RIN,AF,1,0,28.55 ,13,16
10,1,30,b,R5,01/30/2012,13:19,11.0 ,Jane,JAN,AF,1,0,79.19 ,13,16
102,1,31,b,R6,02/08/2012,09:25,8.5 ,Kalema,KAL,JF,3,0,0.63 ,14,21
103,1,31,b,R6,02/08/2012,15:05,8.5 ,Macumu,MAC,AF,1,0,1.72 ,14,21
106,1,31,b,R6,02/12/2012,10:55,7.0 ,Kasamaki,KSI,SF,2,0,2.54 ,14,21
104,1,31,b,R6,02/12/2012,13:49,7.0 ,Kamakune,KAM,AF,1,0,2.00 ,14,21
105,1,31,b,R6,02/12/2012,14:15,7.0 ,Kasaija,KSJ,AM,1,1,24.92 ,14,21
107,1,31,b,R6,02/13/2012,16:00,10.0 ,Kebirungi,KEB,AF,1,0,18.20 ,14,21
108,1,31,b,R6,02/13/2012,16:53,10.0 ,Kyoya,KYO,AF,1,0,21.75 ,14,21
110,1,31,b,R6,02/14/2012,11:50,10.5 ,Basemera,BAS,AF,1,0,1.08 ,14,21
112,1,31,b,R6,02/14/2012,14:10,10.5 ,Kamakune,KAM,AF,1,0,13.99 ,14,21
116,1,31,b,R6,02/14/2012,14:14,10.5 ,Kyoya,KYO,AF,1,0,1.15 ,14,21
114,1,31,b,R6,02/14/2012,14:40,10.5 ,Kebirungi,KEB,AF,1,0,2.59 ,14,21
117,1,31,b,R6,02/14/2012,15:20,10.5 ,Macumu,MAC,AF,1,0,1.06 ,14,21
111,1,31,b,R6,02/14/2012,16:03,10.5 ,Kalema,KAL,JF,3,0,4.88 ,14,21
113,1,31,b,R6,02/14/2012,17:14,10.5 ,Karungi,KAR,AF,1,0,7.55 ,14,21
109,1,31,b,R6,02/14/2012,17:22,10.5 ,Bacwenkojo,BAC,AF,1,0,1.02 ,14,21
119,1,31,b,R6,02/15/2012,13:02,10.5 ,Kasaija,KSJ,AM,1,1,21.90 ,14,21
118,1,31,b,R6,02/15/2012,15:45,10.5 ,Basemera,BAS,AF,1,0,9.13 ,14,21
14,2,32,b,R5,02/19/2012,12:41,5.5 ,Rose,ROS,AF,1,0,3.45 ,13,16
15,2,32,b,R5,02/19/2012,14:28,5.5 ,Teddy,TED,AF,1,0,4.22 ,13,16
13,2,32,b,R5,02/19/2012,15:57,5.5 ,Patrick,PAT,JF,3,0,2.07 ,13,16
17,2,32,b,R5,02/20/2012,12:41,9.5 ,Ringtail,RIN,AF,1,0,13.36 ,13,16
16,2,32,b,R5,02/20/2012,12:54,9.5 ,Patrick,PAT,JF,3,0,19.76 ,13,16
21,2,32,b,R5,02/21/2012,10:51,10.5 ,Topista,TOP,AF,1,0,5.28 ,13,16
20,2,32,b,R5,02/21/2012,13:30,10.5 ,Rose,ROS,AF,1,0,10.97 ,13,16
18,2,32,b,R5,02/21/2012,13:45,10.5 ,Dizzy,DIZ,AF,1,0,8.91 ,13,16
19,2,32,b,R5,02/21/2012,14:13,10.5 ,Robert,ROB,SM,2,1,5.30 ,13,16
23,2,32,b,R5,02/22/2012,08:19,10.5 ,Jane,JAN,AF,1,0,16.27 ,13,16
24,2,32,b,R5,02/22/2012,08:20,10.5 ,Joy,JOY,JF,3,0,74.88 ,13,16
26,2,32,b,R5,02/22/2012,09:21,10.5 ,Light,LIG,AF,1,0,72.11 ,13,16
25,2,32,b,R5,02/22/2012,09:28,10.5 ,Kate,KAT,AF,1,0,52.97 ,13,16
28,2,32,b,R5,02/22/2012,10:20,10.5 ,Teddy,TED,AF,1,0,1.82 ,13,16
121,2,33,b,R6,02/29/2012,11:40,2.0 ,Kebirungi,KEB,AF,1,0,1.31 ,14,21
123,2,33,b,R6,02/29/2012,11:58,2.0 ,Unknown,UID,SA,2,,2.38 ,14,21
120,2,33,b,R6,02/29/2012,14:28,2.0 ,Kakaikuru,KAK,AF,1,0,3.10 ,14,21
