Group,WoP,Date,Time start,Number of Calls WITHIN,Call Type 1,Call Type 2,Context 1,Context 2,Number of Calls OUTSIDE,Eagle,Non-Alarm,unknown
R1,51,02/06/2013,16:20,3,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/07/2013,10:20,4,Pop,,Calls from another mammal,,,0,1,0
R1,51,02/07/2013,10:21,1,Pop,,Calls from another mammal,,,0,1,0
R1,51,02/07/2013,12:12,2,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/07/2013,12:24,1,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/08/2013,09:46,1,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/09/2013,12:53,3,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/09/2013,13:05,3,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/09/2013,14:21,1,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/09/2013,14:33,1,Pop,,Eagle alarm,,,1,0,0
R1,51,02/10/2013,11:35,1,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/10/2013,13:37,3,Pop,,Calls from another monkey species,,,0,1,0
R1,51,02/10/2013,14:04,5,Pop,,Eagle alarm,,,1,0,0
R1,51,02/11/2013,12:14,2,Pop,,Tree/branch fall,,,0,1,0
R1,51,02/12/2013,11:16,2,Pop,,Calls from another monkey species,,,0,1,0
R1,64,04/08/2014,15:49,2,Pop,,Eagle alarm,,,1,0,0
R1,64,04/09/2014,12:48,1,Pop,,Fight within group,,,0,1,0
R1,64,04/10/2014,14:42,1,Pop,,Calls from another monkey species,,,0,1,0
R1,64,04/12/2014,11:17,2,Snake chirps,,Tree/branch fall,,,0,1,0
R1,64,04/13/2014,16:11,1,Pop,,Eagle alarm,,,1,0,0
R1,64,04/15/2014,14:35,1,Pop,,Calls from another monkey species,,,0,1,0
R1,65,05/07/2014,14:20,2,Pop,,Eagle alarm,,,1,0,0
R1,65,05/11/2014,13:48,2,Pop,,Eagle alarm,,,1,0,0
R1,65,05/12/2014,15:51,1,Pop,,Eagle alarm,,,1,0,0
R1,65,05/14/2014,10:40,2,Pop,,Eagle alarm,,,1,0,0
R1,66,06/12/2014,09:07,2,Pop,Other alarm,IGE,IGE,1,0,1,0
R1,66,06/16/2014,14:50,2,Pop,,Tree/branch fall,,,0,1,0
R1,66,06/20/2014,14:44,1,Pop,,Calls from another monkey species,,,0,1,0
R2,43,08/23/2012,15:23,2,Pop,,Calls from another monkey species,,,0,1,0
R2,43,08/26/2012,07:40,2,Pop,,Eagle alarm,,,1,0,0
R2,43,08/26/2012,08:20,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R2,43,08/26/2012,08:27,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R2,43,08/27/2012,12:30,2,pop,,Eagle alarm,,,1,0,0
R2,43,08/28/2012,15:54,1,Pop,,No context,,,0,1,0
R2,43,08/29/2012,09:43,2,pop,,Eagle alarm,,,1,0,0
R2,43,08/31/2012,20:44,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R2,44,09/13/2012,06:18,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/13/2012,10:20,4,Pop,,IGE,,,0,1,0
R2,44,09/13/2012,17:30,5,Snake chirps,Other alarm,Fight within group,,,0,1,0
R2,44,09/13/2012,18:20,4,Snake chirps,,Tree/branch fall,,,0,1,0
R2,44,09/14/2012,11:07,2,Pop,Pop,Calls from another redtail group,Calls from another monkey species,2,0,1,0
R2,44,09/14/2012,11:55,,Pop,,,IGE,5,0,1,0
R2,44,09/14/2012,14:00,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/14/2012,15:11,6,Snake chirps,Ka-train,Eagle alarm,,,1,0,0
R2,44,09/16/2012,09:40,2,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/16/2012,09:40,1,Pop,,IGE,,,0,1,0
R2,44,09/16/2012,09:51,,,Pop,,IGE,1,0,1,0
R2,44,09/16/2012,10:00,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/16/2012,10:00,,,Pop,,Calls from another redtail group,2,0,1,0
R2,44,09/16/2012,16:51,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/16/2012,16:51,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/17/2012,12:37,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/17/2012,13:50,1,Pop,Pop,Calls from another monkey species,Calls from another redtail group,1,0,1,0
R2,44,09/17/2012,16:52,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/18/2012,07:17,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/18/2012,11:18,2,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/18/2012,14:17,1,Pop,,Eagle alarm,,,1,0,0
R2,44,09/18/2012,17:10,2,Pop,,Tree/branch fall,,,0,1,0
R2,44,09/19/2012,10:07,1,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/20/2012,13:23,2,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/20/2012,15:11,1,Pop,,Eagle alarm,,,1,0,0
R2,44,09/21/2012,12:48,1,Pop,Pop,IGE,IGE,1,0,1,0
R2,44,09/21/2012,12:51,1,Pop,Pop,IGE,Calls from a 3rd redtail group,1,0,1,0
R2,44,09/22/2012,09:24,2,Pop,,Calls from another monkey species,,,0,1,0
R2,44,09/22/2012,12:33,1,Pop,,Tree/branch fall,,,0,1,0
