"","species","group","name","class","cort_dw","wo_p","date","cort_numeric","psa_my_perc","psa_bl_perc","psa_ch_perc","r_eagle","r_ig_es","repro_narrow","repro_broad","mean_uc_psg"
"1","RT","R1","Antelope","SF","698 ",63,"03/24/2014",698,0,0,0,0,0,,,0.88
"2","RT","R1","Antelope","SF","903 ",63,"03/25/2014",903,0,0,0,0,0,,,0.88
"3","RT","R1","Antelope","SF","57 ",65,"05/10/2014",57,0,0,0,0.52,0,,,
"4","RT","R1","Antelope","SF","169 ",65,"05/13/2014",169,0,0,0,0.52,0,,,
"5","RT","R1","Antelope","SF","187 ",66,"06/16/2014",187,0,0,0,0,0.27,,,0.99
"6","RT","R1","Antelope","SF","158 ",66,"06/18/2014",158,0,0,0,0,0.27,,,0.99
"7","RT","R1","Buffalo","AF","221 ",63,"03/16/2014",221,0,0,0,0,0,"0","0",3.49
"8","RT","R1","Buffalo","AF","269 ",63,"03/22/2014",269,0,0,0,0,0,"0","0",3.49
"9","RT","R1","Buffalo","AF","301 ",63,"03/24/2014",301,0,0,0,0,0,"0","0",3.49
"10","RT","R1","Buffalo","AF","108 ",65,"05/07/2014",108,0,0,0,0.52,0,"0","0",0.44
"11","RT","R1","Buffalo","AF","201 ",66,"06/13/2014",201,0,0,0,0,0.27,"0","0",
"12","RT","R1","Bushbuck","AF","119 ",64,"04/12/2014",119,0,0,0,0.25,0.13,"0","0",
"13","RT","R1","Bushbuck","AF","150 ",64,"04/14/2014",150,0,0,0,0.25,0.13,"0","0",
"14","RT","R1","Bushbuck","AF","674 ",66,"06/14/2014",674,0,0,0,0,0.27,"0","0",0.48
"15","RT","R1","Donkey","AF","676 ",51,"02/12/2013",676,0,0,0,0.34,0,"1","1",
"16","RT","R1","Donkey","AF","122 ",64,"04/13/2014",122,0,0,0,0.25,0.13,"0","0",
"17","RT","R1","Donkey","AF","137 ",66,"06/13/2014",137,0,0,0,0,0.27,"0","0",1.23
"18","RT","R1","Duiker","AF","876 ",63,"03/21/2014",876,0,0,0,0,0,"0","0",4.31
"19","RT","R1","Duiker","AF","85 ",64,"04/12/2014",85,0,0,0,0.25,0.13,"0","0",
"20","RT","R1","Duiker","AF","278 ",64,"04/14/2014",278,0,0,0,0.25,0.13,"0","0",
"21","RT","R1","Duiker","AF","384 ",66,"06/14/2014",384,0,0,0,0,0.27,"0","0",0.8
"22","RT","R1","Elephant","AM","1184 ",63,"03/13/2014",1184,0,0,0,0,0,,,0.95
"23","RT","R1","Elephant","AM","173 ",63,"03/25/2014",173,0,0,0,0,0,,,0.95
"24","RT","R1","Elephant","AM","202 ",66,"06/14/2014",202,0,0,0,0,0.27,,,0.81
